src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp,flow_duration,packet_rate
9,2,58145,443,0,-0.6480058012280302,2025-06-18 11:54:52.869389057,0.0195956132812048,-0.39397948465228333
9,2,58145,443,0,-0.6480058012280302,2025-06-18 11:54:52.869443893,0.0195956132812048,-0.39397948465228333
9,2,58145,443,0,-0.6197671992606516,2025-06-18 11:54:52.869817019,0.0195956132812048,-0.39397948465228333
12,8,443,58139,0,-0.6480058012280302,2025-06-18 11:54:52.968837023,-0.3316024694698818,-0.4108537564847534
12,8,443,58138,0,-0.6480058012280302,2025-06-18 11:54:53.117834091,-0.3316024694698818,-0.4108537564847534
2,8,443,58145,0,-0.22442677171735195,2025-06-18 11:54:53.168456078,-0.12684482938538075,-0.3803796464003972
9,2,58145,443,0,-0.6480058012280302,2025-06-18 11:54:53.209502935,0.0195956132812048,-0.39397948465228333
2,8,443,58145,0,-0.6480058012280302,2025-06-18 11:54:53.231640100,-0.12684482938538075,-0.3803796464003972
2,8,443,58131,0,-0.6261436577694145,2025-06-18 11:54:53.922135115,-0.12684482938538075,-0.3803796464003972
2,8,443,58131,0,-0.6480058012280302,2025-06-18 11:54:53.923305035,-0.12684482938538075,-0.3803796464003972
9,2,58131,443,0,-0.6480058012280302,2025-06-18 11:54:53.923362970,0.0195956132812048,-0.39397948465228333
3,8,443,58133,0,-0.6261436577694145,2025-06-18 11:54:54.214091063,-0.9131777473083761,-0.42214873875980424
3,8,443,58133,0,-0.6480058012280302,2025-06-18 11:54:54.214091063,-0.9131777473083761,-0.42214873875980424
9,3,58133,443,0,-0.6480058012280302,2025-06-18 11:54:54.214229107,-0.9131777473083761,-0.42214873875980424
9,7,58146,7680,0,-0.6370747294987223,2025-06-18 11:54:54.981143951,2.2395679926876717,-0.419370680945432
9,7,58146,7680,0,-0.6370747294987223,2025-06-18 11:54:55.984760046,2.2395679926876717,-0.419370680945432
9,7,58146,7680,0,-0.6370747294987223,2025-06-18 11:54:57.987723112,2.2395679926876717,-0.419370680945432
9,17,58093,443,0,-0.5450715424437148,2025-06-18 11:54:58.917327881,-0.6757692412650436,-0.38525658992447115
9,17,58093,443,0,1.7677610509489994,2025-06-18 11:54:58.917475939,-0.6757692412650436,-0.38525658992447115
